"GAME_ID","SEASON","SEASON_TYPE","GAME_DATE","MATCHUP","HOME_TEAM_ID","AWAY_TEAM_ID","HOME_TEAM_ABBR","AWAY_TEAM_ABBR","HOME_TEAM","AWAY_TEAM","HOME_PTS","AWAY_PTS","TEAM_ID","TEAM_ABBREVIATION","TEAM_CITY","PLAYER_ID","PLAYER_NAME","NICKNAME","START_POSITION","COMMENT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS","START_TIME","END_TIME"
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",1718,"Paul Pierce","Paul","F",NA,"1:30",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,-1,4230,5130
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",708,"Kevin Garnett","Kevin","F",NA,"1:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,4230,5130
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",2570,"Kendrick Perkins","Kendrick","C",NA,"1:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4230,5130
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",951,"Ray Allen","Ray","G",NA,"1:30",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-1,4230,5130
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",2067,"Eddie House","Eddie",NA,NA,"1:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4230,5130
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",2544,"LeBron James","LeBron","F",NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",980,"Zydrunas Ilgauskas","Zydrunas","C",NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",2753,"Delonte West","Delonte","G",NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",1887,"Wally Szczerbiak","Wally",NA,NA,"0:18",0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",200789,"Daniel Gibson","Daniel",NA,NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",1718,"Paul Pierce","Paul","F",NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",708,"Kevin Garnett","Kevin","F",NA,"0:18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",2570,"Kendrick Perkins","Kendrick","C",NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",2067,"Eddie House","Eddie",NA,NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",2754,"Tony Allen","Tony",NA,NA,"0:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,5130,5310
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",2544,"LeBron James","LeBron","F",NA,"3:09",1,2,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,-5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",2753,"Delonte West","Delonte","G",NA,"3:09",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",1887,"Wally Szczerbiak","Wally",NA,NA,"3:09",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,-5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",200789,"Daniel Gibson","Daniel",NA,NA,"3:09",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",2760,"Anderson Varejao","Anderson",NA,NA,"3:09",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",1718,"Paul Pierce","Paul","F",NA,"3:09",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",708,"Kevin Garnett","Kevin","F",NA,"3:09",2,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",2067,"Eddie House","Eddie",NA,NA,"3:09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",2754,"Tony Allen","Tony",NA,NA,"3:09",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612738,"BOS","Boston",200796,"Leon Powe","Leon",NA,NA,"3:09",2,3,0.667,0,0,0,1,1,1,1,0,1,0,0,0,0,0,5,5,5310,7200
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",1887,"Wally Szczerbiak","Wally",NA,NA,"5:50",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7200,10700
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",200789,"Daniel Gibson","Daniel",NA,NA,"5:50",2,3,0.667,0,0,0,2,3,0.667,0,1,1,1,0,0,0,0,6,5,7200,10700
"0020800001","2008-09","Regular Season",2008-10-28,"CLE @ BOS","1610612738","1610612739","BOS","CLE","Boston Celtics","Cleveland Cavaliers",90,85,1610612739,"CLE","Cleveland",2760,"Anderson Varejao","Anderson",NA,NA,"5:50",0,1,0,0,0,0,3,4,0.75,1,1,2,1,1,0,0,0,3,5,7200,10700
