"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","HOME_PTS","AWAY_PTS","nh","j3210","j45"
"0020800028",2008-11-01,"Regular Season","BOS @ IND","Indiana Pacers","Boston Celtics",95,79,"j3210",5,-6
"0020800028",2008-11-01,"Regular Season","BOS @ IND","Indiana Pacers","Boston Celtics",95,79,"j45",-1,18
"0020800029",2008-11-01,"Regular Season","SAC @ ORL","Orlando Magic","Sacramento Kings",121,103,"j3210",6,-2
"0020800029",2008-11-01,"Regular Season","SAC @ ORL","Orlando Magic","Sacramento Kings",121,103,"j45",-4,18
"0020800030",2008-11-01,"Regular Season","WAS @ DET","Detroit Pistons","Washington Wizards",117,109,"j3210",-2,-7
"0020800030",2008-11-01,"Regular Season","WAS @ DET","Detroit Pistons","Washington Wizards",117,109,"j45",-7,24
"0020800031",2008-11-01,"Regular Season","GSW @ NJN","New Jersey Nets","Golden State Warriors",97,105,"j3210",3,-4
"0020800031",2008-11-01,"Regular Season","GSW @ NJN","New Jersey Nets","Golden State Warriors",97,105,"j45",3,-10
"0020800032",2008-11-01,"Regular Season","DAL @ MIN","Minnesota Timberwolves","Dallas Mavericks",85,95,"j3210",-5,6
"0020800032",2008-11-01,"Regular Season","DAL @ MIN","Minnesota Timberwolves","Dallas Mavericks",85,95,"j45",-2,-9
"0020800033",2008-11-01,"Regular Season","CLE @ NOH","New Orleans Hornets","Cleveland Cavaliers",104,92,"j3210",2,12
"0020800033",2008-11-01,"Regular Season","CLE @ NOH","New Orleans Hornets","Cleveland Cavaliers",104,92,"j45",6,-8
"0020800035",2008-11-01,"Regular Season","OKC @ HOU","Houston Rockets","Oklahoma City Thunder",89,77,"j3210",11,-5
"0020800035",2008-11-01,"Regular Season","OKC @ HOU","Houston Rockets","Oklahoma City Thunder",89,77,"j45",3,1
"0020800036",2008-11-01,"Regular Season","TOR @ MIL","Milwaukee Bucks","Toronto Raptors",87,91,"j3210",4,-1
"0020800036",2008-11-01,"Regular Season","TOR @ MIL","Milwaukee Bucks","Toronto Raptors",87,91,"j45",-3,-4
"0020800037",2008-11-01,"Regular Season","LAL @ DEN","Denver Nuggets","Los Angeles Lakers",97,104,"j3210",-4,-4
"0020800037",2008-11-01,"Regular Season","LAL @ DEN","Denver Nuggets","Los Angeles Lakers",97,104,"j45",11,-10
"0020800039",2008-11-01,"Regular Season","POR @ PHX","Phoenix Suns","Portland Trail Blazers",107,96,"j3210",-8,-2
"0020800039",2008-11-01,"Regular Season","POR @ PHX","Phoenix Suns","Portland Trail Blazers",107,96,"j45",-2,23
"0020800040",2008-11-02,"Regular Season","MIL @ NYK","New York Knicks","Milwaukee Bucks",86,94,"j3210",11,1
"0020800040",2008-11-02,"Regular Season","MIL @ NYK","New York Knicks","Milwaukee Bucks",86,94,"j45",0,-20
"0020800041",2008-11-02,"Regular Season","MIN @ OKC","Oklahoma City Thunder","Minnesota Timberwolves",88,85,"j3210",7,3
"0020800041",2008-11-02,"Regular Season","MIN @ OKC","Oklahoma City Thunder","Minnesota Timberwolves",88,85,"j45",0,-7
"0020800042",2008-11-03,"Regular Season","DET @ CHA","Charlotte Bobcats","Detroit Pistons",83,101,"j3210",-1,0
"0020800042",2008-11-03,"Regular Season","DET @ CHA","Charlotte Bobcats","Detroit Pistons",83,101,"j45",-4,-13
"0020800044",2008-11-03,"Regular Season","SAC @ PHI","Philadelphia 76ers","Sacramento Kings",125,91,"j3210",21,0
"0020800044",2008-11-03,"Regular Season","SAC @ PHI","Philadelphia 76ers","Sacramento Kings",125,91,"j45",8,5
"0020800045",2008-11-03,"Regular Season","GSW @ MEM","Memphis Grizzlies","Golden State Warriors",90,79,"j3210",3,7
"0020800045",2008-11-03,"Regular Season","GSW @ MEM","Memphis Grizzlies","Golden State Warriors",90,79,"j45",-3,4
"0020800046",2008-11-03,"Regular Season","CLE @ DAL","Dallas Mavericks","Cleveland Cavaliers",81,100,"j3210",-9,0
"0020800046",2008-11-03,"Regular Season","CLE @ DAL","Dallas Mavericks","Cleveland Cavaliers",81,100,"j45",-6,-4
"0020800047",2008-11-03,"Regular Season","UTA @ LAC","Los Angeles Clippers","Utah Jazz",73,89,"j3210",-15,-3
"0020800047",2008-11-03,"Regular Season","UTA @ LAC","Los Angeles Clippers","Utah Jazz",73,89,"j45",-7,9
"0020800048",2008-11-04,"Regular Season","PHX @ NJN","New Jersey Nets","Phoenix Suns",86,114,"j3210",-27,0
"0020800048",2008-11-04,"Regular Season","PHX @ NJN","New Jersey Nets","Phoenix Suns",86,114,"j45",9,-10
"0020800049",2008-11-04,"Regular Season","BOS @ HOU","Houston Rockets","Boston Celtics",99,103,"j3210",-6,1
"0020800049",2008-11-04,"Regular Season","BOS @ HOU","Houston Rockets","Boston Celtics",99,103,"j45",3,-4
"0020800050",2008-11-04,"Regular Season","DAL @ SAS","San Antonio Spurs","Dallas Mavericks",81,98,"j3210",14,-20
"0020800050",2008-11-04,"Regular Season","DAL @ SAS","San Antonio Spurs","Dallas Mavericks",81,98,"j45",-7,-4
"0020800051",2008-11-05,"Regular Season","PHX @ IND","Indiana Pacers","Phoenix Suns",103,113,"j3210",1,-2
"0020800051",2008-11-05,"Regular Season","PHX @ IND","Indiana Pacers","Phoenix Suns",103,113,"j45",-9,0
"0020800052",2008-11-05,"Regular Season","DET @ TOR","Toronto Raptors","Detroit Pistons",93,100,"j3210",-5,-4
"0020800052",2008-11-05,"Regular Season","DET @ TOR","Toronto Raptors","Detroit Pistons",93,100,"j45",5,-3
"0020800053",2008-11-05,"Regular Season","PHI @ MIA","Miami Heat","Philadelphia 76ers",106,83,"j3210",16,6
"0020800053",2008-11-05,"Regular Season","PHI @ MIA","Miami Heat","Philadelphia 76ers",106,83,"j45",6,-5
"0020800054",2008-11-05,"Regular Season","CHA @ NYK","New York Knicks","Charlotte Bobcats",101,98,"j3210",22,-6
"0020800054",2008-11-05,"Regular Season","CHA @ NYK","New York Knicks","Charlotte Bobcats",101,98,"j45",0,-13
"0020800055",2008-11-05,"Regular Season","CHI @ CLE","Cleveland Cavaliers","Chicago Bulls",107,93,"j3210",-8,11
"0020800055",2008-11-05,"Regular Season","CHI @ CLE","Cleveland Cavaliers","Chicago Bulls",107,93,"j45",17,-6
"0020800056",2008-11-05,"Regular Season","WAS @ MIL","Milwaukee Bucks","Washington Wizards",112,104,"j3210",-14,13
"0020800056",2008-11-05,"Regular Season","WAS @ MIL","Milwaukee Bucks","Washington Wizards",112,104,"j45",-1,2
"0020800058",2008-11-05,"Regular Season","ATL @ NOH","New Orleans Hornets","Atlanta Hawks",79,87,"j3210",-2,-1
"0020800058",2008-11-05,"Regular Season","ATL @ NOH","New Orleans Hornets","Atlanta Hawks",79,87,"j45",0,-5
"0020800059",2008-11-05,"Regular Season","BOS @ OKC","Oklahoma City Thunder","Boston Celtics",83,96,"j3210",-3,-4
"0020800059",2008-11-05,"Regular Season","BOS @ OKC","Oklahoma City Thunder","Boston Celtics",83,96,"j45",-4,-2
"0020800061",2008-11-05,"Regular Season","MEM @ SAC","Sacramento Kings","Memphis Grizzlies",100,95,"j3210",-3,0
"0020800061",2008-11-05,"Regular Season","MEM @ SAC","Sacramento Kings","Memphis Grizzlies",100,95,"j45",3,5
"0020800063",2008-11-05,"Regular Season","LAC @ LAL","Los Angeles Lakers","Los Angeles Clippers",106,88,"j3210",9,10
"0020800063",2008-11-05,"Regular Season","LAC @ LAL","Los Angeles Lakers","Los Angeles Clippers",106,88,"j45",-2,1
"0020800065",2008-11-06,"Regular Season","HOU @ POR","Portland Trail Blazers","Houston Rockets",101,99,"j3210",1,0
"0020800065",2008-11-06,"Regular Season","HOU @ POR","Portland Trail Blazers","Houston Rockets",101,99,"j45",-1,0
"0020800066",2008-11-07,"Regular Season","NOH @ CHA","Charlotte Bobcats","New Orleans Hornets",92,89,"j3210",3,8
"0020800066",2008-11-07,"Regular Season","NOH @ CHA","Charlotte Bobcats","New Orleans Hornets",92,89,"j45",-1,-7
"0020800067",2008-11-07,"Regular Season","NYK @ WAS","Washington Wizards","New York Knicks",108,114,"j3210",6,-1
"0020800067",2008-11-07,"Regular Season","NYK @ WAS","Washington Wizards","New York Knicks",108,114,"j45",-6,-5
"0020800068",2008-11-07,"Regular Season","TOR @ ATL","Atlanta Hawks","Toronto Raptors",110,92,"j3210",5,-6
"0020800068",2008-11-07,"Regular Season","TOR @ ATL","Atlanta Hawks","Toronto Raptors",110,92,"j45",13,6
"0020800069",2008-11-07,"Regular Season","MIL @ BOS","Boston Celtics","Milwaukee Bucks",101,89,"j3210",18,0
"0020800069",2008-11-07,"Regular Season","MIL @ BOS","Boston Celtics","Milwaukee Bucks",101,89,"j45",3,-6
"0020800070",2008-11-07,"Regular Season","IND @ CLE","Cleveland Cavaliers","Indiana Pacers",111,107,"j3210",4,5
"0020800070",2008-11-07,"Regular Season","IND @ CLE","Cleveland Cavaliers","Indiana Pacers",111,107,"j45",1,-6
"0020800071",2008-11-07,"Regular Season","DET @ NJN","New Jersey Nets","Detroit Pistons",103,96,"j3210",-11,1
"0020800071",2008-11-07,"Regular Season","DET @ NJN","New Jersey Nets","Detroit Pistons",103,96,"j45",10,7
"0020800074",2008-11-07,"Regular Season","OKC @ UTA","Utah Jazz","Oklahoma City Thunder",104,97,"j3210",13,3
"0020800074",2008-11-07,"Regular Season","OKC @ UTA","Utah Jazz","Oklahoma City Thunder",104,97,"j45",-2,-7
